log,backbone,total_params,trainable_params,trainable_percent,trainable_percent_fmt,total_params_fmt,"# params
(%trainable)"
BPI20RequestForPayment,gptneo-1b3,1315696661.0,50472981.0,3.83621715370455,3.8%,1.3e+09,1.3e+09 (3.8%)
BPI20RequestForPayment,gptneo-1b3,1315696661.0,120853.0,0.009185475921793801,0.0%,1.3e+09,1.3e+09 (0.0%)
BPI12,gptneo-1b3,1366061085.0,50485277.0,3.6956822468886887,3.7%,1.4e+09,1.4e+09 (3.7%)
BPI12,gptneo-1b3,1315729437.0,100857885.0,7.665549022750945,7.7%,1.3e+09,1.3e+09 (7.7%)
BPI12,gptneo-1b3,1315729437.0,50505757.0,3.838612679758718,3.8%,1.3e+09,1.3e+09 (3.8%)
BPI17,gptneo-1b3,1366065182.0,50489374.0,3.6959710755588238,3.7%,1.4e+09,1.4e+09 (3.7%)
BPI12,gptneo-1b3,1315729437.0,153629.0,0.011676336766492821,0.0%,1.3e+09,1.3e+09 (0.0%)
BPI17,gptneo-1b3,1315733534.0,100861982.0,7.665836538601136,7.7%,1.3e+09,1.3e+09 (7.7%)
BPI17,gptneo-1b3,1315733534.0,50509854.0,3.838912112123761,3.8%,1.3e+09,1.3e+09 (3.8%)
BPI17,gptneo-1b3,1315733534.0,157726.0,0.011987685646385601,0.0%,1.3e+09,1.3e+09 (0.0%)
BPI12,qwen25-05b,634871325.0,140838557.0,22.18379559038991,22.2%,6.3e+08,6.3e+08 (22.2%)
BPI12,qwen25-05b,494099997.0,29932317.0,6.057947213466589,6.1%,4.9e+08,4.9e+08 (6.1%)
BPI12,qwen25-05b,494099997.0,15021725.0,3.040219609635011,3.0%,4.9e+08,4.9e+08 (3.0%)
BPI12,qwen25-05b,494099997.0,111133.0,0.02249200580343254,0.0%,4.9e+08,4.9e+08 (0.0%)
BPI20PrepaidTravelCosts,qwen25-05b,634880290.0,140847522.0,22.184894415292057,22.2%,6.3e+08,6.3e+08 (22.2%)
BPI20PrepaidTravelCosts,qwen25-05b,494108962.0,29941282.0,6.059651676587077,6.1%,4.9e+08,4.9e+08 (6.1%)
BPI20PrepaidTravelCosts,qwen25-05b,494108962.0,15030690.0,3.0419788257149647,3.0%,4.9e+08,4.9e+08 (3.0%)
BPI20PrepaidTravelCosts,qwen25-05b,494108962.0,120098.0,0.024305974842852577,0.0%,4.9e+08,4.9e+08 (0.0%)
BPI20RequestForPayment,qwen25-05b,634856981.0,140824213.0,22.182037405996486,22.2%,6.3e+08,6.3e+08 (22.2%)
BPI20RequestForPayment,qwen25-05b,494085653.0,29917973.0,6.055219943818122,6.1%,4.9e+08,4.9e+08 (6.1%)
BPI20RequestForPayment,qwen25-05b,494085653.0,15007381.0,3.0374047311185537,3.0%,4.9e+08,4.9e+08 (3.0%)
BPI20RequestForPayment,qwen25-05b,494085653.0,96789.0,0.019589518418985544,0.0%,4.9e+08,4.9e+08 (0.0%)
BPI20TravelPermitData,qwen25-05b,634917943.0,140885175.0,22.189509141026118,22.2%,6.3e+08,6.3e+08 (22.2%)
BPI20TravelPermitData,qwen25-05b,494146615.0,29978935.0,6.0668097463340915,6.1%,4.9e+08,4.9e+08 (6.1%)
BPI20TravelPermitData,qwen25-05b,494146615.0,15068343.0,3.049366836196986,3.0%,4.9e+08,4.9e+08 (3.0%)
BPI20TravelPermitData,qwen25-05b,494146615.0,157751.0,0.03192392605988002,0.0%,4.9e+08,4.9e+08 (0.0%)
BPI17,qwen25-05b,634873118.0,140840350.0,22.184015357852967,22.2%,6.3e+08,6.3e+08 (22.2%)
BPI17,qwen25-05b,494101790.0,29934110.0,6.05828811103882,6.1%,4.9e+08,4.9e+08 (6.1%)
BPI17,qwen25-05b,494101790.0,15023518.0,3.040571457958086,3.0%,4.9e+08,4.9e+08 (3.0%)
BPI17,qwen25-05b,494101790.0,112926.0,0.022854804877351285,0.0%,4.9e+08,4.9e+08 (0.0%)
BPI20PrepaidTravelCosts,llama32-1b,1416343586.0,180529186.0,12.746143505323149,12.7%,1.4e+09,1.4e+09 (12.7%)
BPI20PrepaidTravelCosts,llama32-1b,1235988514.0,121876514.0,9.860651018962463,9.9%,1.2e+09,1.2e+09 (9.9%)
BPI20PrepaidTravelCosts,llama32-1b,1235988514.0,61059106.0,4.940103027527002,4.9%,1.2e+09,1.2e+09 (4.9%)
BPI20PrepaidTravelCosts,llama32-1b,1235988514.0,241698.0,0.019555036091540894,0.0%,1.2e+09,1.2e+09 (0.0%)
BPI20TravelPermitData,llama32-1b,1416429623.0,180615223.0,12.751443493355971,12.8%,1.4e+09,1.4e+09 (12.8%)
